time,az_deg,el_deg
5.36,1.9851427948080413,86.05861482108304
5.4,2.000462337259478,86.08764926415712
5.44,2.015789522720411,86.1162583844314
5.48,2.031124354716667,86.14445143847202
5.52,2.046466836773277,86.17223741655584
5.56,2.061816972414249,86.19962505216371
5.6,2.0771747651627948,86.22662283107081
5.64,2.0925402185413304,86.2532390000544
5.68,2.107913336071192,86.27948157523716
5.72,2.123294121272977,86.30535835008381
5.76,2.138682577666316,86.33087690306817
5.8,2.154078708769873,86.35604460502563
5.84,2.1694825181014608,86.38086862620652
5.88,2.184894009177924,86.40535594304424
5.92,2.200313185515256,86.4295133446516
5.96,2.2157400506283693,86.45334743905782
6.0,2.2311746080312673,86.47686465919844
6.04,2.246616861237044,86.5000712686692
6.08,2.2620668137577695,86.52297336725488
6.12,2.2775244691046623,86.54557689624316
