time,altitude_m,desired_theta_rad,desired_theta_deg,mount_theta_rad,mount_theta_deg,mount_ang_vel_rad_s,mount_ang_vel_deg_s,tracking_error_deg,distance_m,rx_gain_dbi,fspl_db,pr_dbm,snr_db
34.85,7132.176,1.5323529613749405,87.79735741115735,1.5325155585591501,87.80667354357327,-0.00036329038282989485,-0.020815005673844922,-0.009316132415923226,7137.449541494217,8.9999996555457,108.747066123238,-85.74706646769229,31.283833402227145
34.9,7132.176,1.5323529613749405,87.79735741115735,1.5325011152926429,87.80584600536002,-0.0002888653301367207,-0.016550764264487285,-0.008488594202675956,7137.449541494217,8.999999714022511,108.747066123238,-85.74706640921549,31.283833460703946
34.95,7132.176,1.5323529613749405,87.79735741115735,1.5324877442275238,87.8050798997611,-0.00026742130239032735,-0.01532211197885751,-0.007722488603755987,7137.449541494217,8.999999763312756,108.747066123238,-85.74706635992524,31.283833509994196
35.0,7135.7,1.532371928130853,87.79844412622218,1.5324793963999603,87.80460160447362,-0.00016695655127829299,-0.009565905750305697,-0.006157478251427148,7140.970939053036,8.999999849524402,108.75135041662037,-85.75135056709597,31.27954930282347
35.05,7132.176,1.5323529613749405,87.79735741115735,1.5324656910046235,87.80381634316426,-0.0002741079067378761,-0.01570522618724588,-0.006458932006908934,7137.449541494217,8.999999834429971,108.747066123238,-85.74706628880803,31.28383358111141
35.1,7128.65,1.5323339651142893,87.7962690055955,1.5324519893290587,87.80303129498213,-0.00027403351129695516,-0.015700963642466096,-0.0067622893866301145,7133.926147984712,8.999999818512045,108.74277728543248,-85.74277746692044,31.288122402998994
35.15,7125.127,1.5323149662665525,87.79518045180457,1.5324377573055905,87.80221586010347,-0.00028464046935639035,-0.016308697572744005,-0.007035408298903878,7130.4057548311375,8.999999803555932,108.73848998375671,-85.73849018020078,31.292409689718653
35.2,7121.603,1.532295943248699,87.79409051316797,1.5324230968004624,87.8013758750341,-0.00029321010255323106,-0.016799701386898184,-0.007285361866134918,7126.884364994917,8.999999789349468,108.73419935014333,-85.73419956079385,31.296700309125583
35.25,7121.603,1.532295943248699,87.79409051316797,1.5324118474957986,87.8007313373544,-0.00022498609327037232,-0.012890753593529028,-0.006640824186443195,7126.884364994917,8.999999824973315,108.73419935014333,-85.73419952517001,31.296700344749425
35.3,7118.08,1.532276906829173,87.79299980667209,1.53239757471765,87.79991356740456,-0.000285455562975657,-0.016355398997036027,-0.006913760732479743,7123.3639769985075,8.999999810290538,108.72990781760183,-85.72990800731128,31.300991862608157
35.35,7114.559,1.532257862407608,87.79190864169314,1.532383126322304,87.79908573533051,-0.0002889679069166809,-0.016556641481055047,-0.007177093637369156,7119.845590101024,8.99999979556393,108.72561660489824,-85.7256168093343,31.30528306058514
35.4,7107.514,1.5322197007754008,87.78972214122834,1.5323644124439273,87.7980135090812,-0.0003742775675288384,-0.021444524985825105,-0.008291367852863224,7112.8058262964,8.999999727157093,108.71702416281805,-85.71702443566096,31.313875434258478
35.45,7107.514,1.5322197007754008,87.78972214122834,1.5323518126649125,87.79729159492085,-0.0002519955802995387,-0.0144382832071136,-0.00756945369251773,7112.8058262964,8.99999977260057,108.71702416281805,-85.71702439021749,31.31387547970195
35.5,7107.514,1.5322197007754008,87.78972214122834,1.5323398614538633,87.79660684096767,-0.00023902422099375398,-0.013695079064344392,-0.0068846997393259505,7112.8058262964,8.999999811882018,108.71702416281805,-85.71702435093603,31.31387551898341
35.55,7107.514,1.5322197007754008,87.78972214122834,1.532329040507122,87.79598684638906,-0.00021641893482637762,-0.012399891572268265,-0.006264705160712533,7112.8058262964,8.99999984423798,108.71702416281805,-85.71702431858007,31.313875551339365
35.6,7103.991,1.53220058890419,87.78862711166937,1.532315366254382,87.79520336941906,-0.0002734850548034004,-0.015669539400138863,-0.006576257749706031,7109.285448656637,8.999999828360219,108.71272414649883,-85.71272431813861,31.318175551780826
35.65,7107.514,1.5322197007754008,87.78972214122834,1.532309078318879,87.7948430972529,-0.00012575871006070453,-0.0072054433234877745,-0.0051209560245515425,7112.8058262964,8.999999895921171,108.71702416281805,-85.71702426689689,31.313875603022552
